,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
ETN,2.485844810723168,0.08151630043318313,16.85,0.02996436661454948,8.804899367630178e-08,0.0092912451761711,18.69688385269122
ROAD,1.6378807627439191,0.10045125656494437,20.86,,4.518536205287421e-07,0.05526232578879803,18.980169971671387
ABM,1.7236270056841738,0.09472458576339858,21.09,0.01892545172508851,2.6655807348101447e-07,0.020923734443067492,19.263456090651555
PSN,-4.474102170199529,0.05450365897968242,37.04,,2.299717293946938e-07,-0.11264009770421102,19.54674220963173
TDY,5.1242463458161,0.0,,,0.0,-0.17739831979481682,19.8300283286119
ADSW,3.369411927767362,0.08089309713752463,-3314.65,,3.9438831005372633e-07,-0.023014516043079754,20.113314447592067
TRN,1.18217137640907,0.08373013056994937,19.84,0.03101336157468341,1.2777475904490759e-07,-0.15518745688913385,20.396600566572236
R,0.92922528900384,0.21087218488955947,20.14,0.04528916434159744,9.119687932510497e-08,-0.12300589610299129,20.679886685552407
TNET,10.756864,0.09581128605855442,20.35,,-1.2210851052621486e-06,0.11623473831833131,20.96317280453258
MIC,1.341238278931499,0.07937922907919401,27.24,0.0909143266969615,3.856152198263568e-07,0.08144775359473212,21.246458923512748
TITN,0.8826286592662452,0.09303143692762451,26.1,,8.035762366387541e-07,-0.07084254673659406,21.529745042492916
DY,1.810593208523432,0.1375221452611124,25.35,,-1.8835684836595017e-06,-0.10932316661959282,21.813031161473088
TRTN,1.2489555736746891,0.1276302854053002,8.91,0.05580198859766833,1.3674104427435947e-07,-0.08615553789087202,22.096317280453256
RUSHB,0.3466150626710251,0.12062257290642098,10.5,0.011280927045536201,1.7659477625736861e-07,-0.10486100539497907,22.379603399433428
MSM,2.238495902780606,0.11269886415674175,14.56,0.03929602364045753,7.801687780733703e-07,0.1352439905058199,22.6628895184136
RLGT,1.947650411503647,0.13367876618803123,17.51,,3.861148038058821e-05,0.23763560054105232,22.946175637393768
XPO,2.411185140323914,0.11504634999491546,24.72,,3.237093855728408e-07,0.014750151940893628,23.229461756373937
SCS,2.0520398889591793,0.10654849519707271,14.79,0.03,1.0682189589794699e-07,-0.20103569656571976,23.512747875354105
AMRC,1.5688314906886136,0.08323607428524833,27.87,,-1.7434967570960316e-06,-0.1791097049634019,23.79603399433428
DAL,2.445793711,0.17864749545301115,7.98,0.027242288671979555,0.0,-0.08265386910952036,24.07932011331445
NPK,1.7409620742053868,0.13495057314051986,19.02,0.06931143849737334,-2.2762410235394435e-05,-0.02979554582507533,24.362606232294617
HCSG,4.452025169464954,0.05618419026771855,25.75,0.03146348251849949,4.330543048954854e-07,0.08144627455681967,24.645892351274785
RUSHA,1.1661752962072287,0.12080105157999187,10.08,0.011484233881071221,1.680536960968426e-07,-0.1018529160397721,24.929178470254957
HNI,2.9558918560827627,0.12394855508439008,17.41,0.03354649283812751,3.6821947262831526e-07,0.03860798767736411,25.21246458923513
CVTI,0.6555259433584888,0.37332665534098725,31.19,,0.0,-0.13553950898068756,25.495750708215297
ST,2.999696520844571,0.08572573131996937,17.0,,2.740814472368791e-07,0.023271792278692523,25.77903682719547
REZI,0.8821547266660268,0.23880221092678167,22.33,,-3.3279548996034754e-07,-0.44573161719527193,26.062322946175637
ASTE,1.6419965004991663,-0.04797118605956449,-151.79,0.010917647795436004,9.857261174552998e-07,-0.25403143915180226,26.345609065155806
CBZ,2.513880149516762,0.07213261183698212,21.35,,9.161759231467555e-07,0.07398302525839724,26.628895184135974
MTOR,4.689563036519551,0.17624800537349314,6.72,,3.492561481646597e-07,-0.011550363329009033,26.912181303116146
GVA,0.9473780479868222,0.17628105548951645,-12.38,0.01936195686856382,3.9572950994412556e-07,-0.1609577072009761,27.19546742209632
IESC,2.3683239791015485,0.0924027647684677,17.67,,1.461885064283238e-06,-0.012595890935718041,27.47875354107649
GFF,2.1615860090423014,0.09272003359338123,24.56,0.0135165435639741,2.2055884538567284e-07,0.030136075097544287,27.762039660056658
MATX,2.22766159564499,0.0868813231443108,19.5,0.022333648836716482,3.1113289750528457e-07,-0.05943256602472733,28.04532577903683
ALK,2.224906422949907,0.12944191945983602,13.8,0.021966642280151508,1.9061318927880099e-07,-0.03365448170334328,28.328611898016998
CAI,0.7054850118121249,0.10706543618025578,15.8,,3.8809219321827657e-07,-0.22737587739415369,28.611898016997166
MAS,-126.87030133463338,0.08564421526750145,19.04,0.010807983238939008,1.2581599775665316e-07,-0.018468735181001963,28.89518413597734
