Date,Account Ticker,Stock Ticker,Cusip,Security Description,Shares,Price,Market Value
9/4/15,VLML,DDS,254067101,DILLARDS INC-CL A,836,92.91,"77,672.76"
9/4/15,VLML,DOW,260543103,DOW CHEMICAL CO/THE,2271,42.83,"97,266.93"
9/4/15,VLML,FULT,360271100,FULTON FINANCIAL CORP,8331,11.88,"98,972.28"
9/4/15,VLML,GEO,36162J106,GEO GROUP INC/THE,2426,29.46,"71,469.96"
9/4/15,VLML,GME,36467W109,GAMESTOP CORP-CLASS A,2930,41.71,"122,210.30"
9/4/15,VLML,HST,44107P104,HOST HOTELS & RESORTS INC,4197,17.56,"73,699.32"
9/4/15,VLML,IDA,451107106,IDACORP INC,1508,58.05,"87,539.40"
9/4/15,VLML,INGR,457187102,INGREDION INC,1208,85.31,"103,054.48"
9/4/15,VLML,IP,460146103,INTERNATIONAL PAPER CO,1910,42.15,"80,506.50"
9/4/15,VLML,KAR,48238T109,KAR AUCTION SERVICES INC,2694,36.99,"99,651.06"
9/4/15,VLML,KKR,48248M102,KKR & CO LP,4299,18.94,"81,423.06"
9/4/15,VLML,LVS,517834107,LAS VEGAS SANDS CORP,1826,47.67,"87,045.42"
9/4/15,VLML,LMT,539830109,LOCKHEED MARTIN CORP,524,205.2,"107,524.80"
9/4/15,VLML,MMP,559080106,MAGELLAN MIDSTREAM PARTNERS,1245,70.19,"87,386.55"
9/4/15,VLML,MSFT,594918104,MICROSOFT CORP,2480,43.5,"107,880.00"
9/4/15,VLML,NTI,665826103,NORTHERN TIER ENERGY LP,4118,24.16,"99,490.88"
9/4/15,VLML,NWE,668074305,NORTHWESTERN CORP,1972,50.39,"99,369.08"
9/4/15,VLML,OGE,670837103,OGE ENERGY CORP,3186,27.2,"86,659.20"
9/4/15,VLML,OMC,681919106,OMNICOM GROUP,1304,66.84,"87,159.36"
9/4/15,VLML,PKG,695156109,PACKAGING CORP OF AMERICA,1285,65.5,"84,167.50"
9/4/15,VLML,PACW,695263103,PACWEST BANCORP,1913,42.1,"80,537.30"
9/4/15,VLML,PFG,74251V102,PRINCIPAL FINANCIAL GROUP,2005,48.72,"97,683.60"
9/4/15,VLML,QCOM,747525103,QUALCOMM INC,1577,55.55,"87,602.35"
9/4/15,VLML,RTN,755111507,RAYTHEON COMPANY,929,104.53,"97,108.37"
9/4/15,VLML,SEP,84756N109,SPECTRA ENERGY PARTNERS LP,1989,49,"97,461.00"
9/4/15,VLML,TLLP,88160T107,TESORO LOGISTICS LP,1765,52.8,"93,192.00"
9/4/15,VLML,TXN,882508104,TEXAS INSTRUMENTS INC,1907,47.46,"90,506.22"
9/4/15,VLML,THO,885160101,THOR INDUSTRIES INC,1751,54.68,"95,744.68"
9/4/15,VLML,MMM,88579Y101,3M CO,622,141.74,"88,162.28"
9/4/15,VLML,TUP,899896104,TUPPERWARE BRANDS CORP,1645,51.96,"85,474.20"
9/4/15,VLML,VZ,92343V104,VERIZON COMMUNICATIONS INC,2099,45.72,"95,966.28"
9/4/15,VLML,WEC,92939U106,WEC ENERGY GROUP INC,1874,47.02,"88,115.48"
9/4/15,VLML,WFC,949746101,WELLS FARGO & CO,1896,52.43,"99,407.28"
9/4/15,VLML,WLK,960413102,WESTLAKE CHEMICAL CORP,1711,51.6,"88,287.60"
9/4/15,VLML,WY,962166104,WEYERHAEUSER CO,2737,27.9,"76,362.30"
9/4/15,VLML,XLNX,983919101,XILINX INC,2454,41.19,"101,080.26"
9/4/15,VLML,ETN,G29183103,EATON CORP PLC,1533,55.29,"84,759.57"
9/4/15,VLML,STX,G7945M107,SEAGATE TECHNOLOGY,1546,49.49,"76,511.54"
