,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
AKR,1.5368776440491863,0.03812341317860251,59.77,0.04396316002495558,7.837554964811797e-07,-0.07145072480889676,56.59340659340659
ALX,6.331378416704556,0.03620865683241307,32.14,0.05452869939478951,7.004429388446128e-06,0.07217471244041371,57.14285714285714
GNL,1.3255422059540605,0.061333459635235815,103.71,0.08935494911107734,7.827801754967854e-07,-0.14544018357611466,57.692307692307686
IRT,2.283902973479664,0.04102304755947462,37.7,0.04869496621232056,6.534539934932414e-07,-0.1963504687126163,58.24175824175825
LSI,2.718969520774963,0.043788373790110455,17.85,0.03649096828992017,1.3903302721408446e-06,0.01573349694630384,58.791208791208796
EQR,3.047638263900984,0.0411409983770186,37.87,0.028556869977452572,2.0054205586299802e-07,-0.018703949874543928,59.34065934065934
WPC,2.149752929128437,0.03410727108953536,36.7,0.0500113501572339,3.411265497956341e-07,-0.3492130600094551,59.89010989010989
ESRT,2.081784340991297,0.09466122318581448,44.82,0.0316983676041465,1.2493224075572462e-07,-0.12889304368529655,60.43956043956044
WELL,2.4668320359110596,0.043386555729971875,103.8,0.04199413475115458,2.2265256558535735e-07,-0.11348063093043784,60.98901098901099
RMAX,1.4352014753668825,0.09389358726442122,23.8,0.02248554303760708,1.7449063633478732e-06,-0.06392513581221242,61.53846153846154
CUZ,2.192560053703044,0.03968983212646236,118.58,0.02848691867502938,3.394347845914358e-07,0.03703171596004428,62.08791208791209
OLP,1.9598922815354765,0.05246839612586255,45.4,0.06546472096985785,2.962863325659578e-06,-0.09047675832118073,62.637362637362635
COLD,9.549133850926957,0.03634693864427027,231.5,0.02350534590874432,4.84717974725894e-07,0.18440528474358003,63.18681318681318
CTRE,2.813971774780121,0.05055762360010407,48.02,0.04085046234871113,6.571395176793082e-07,0.12505770656578286,63.73626373626373
AIV,4.829250097748631,0.0489052815082445,23.87,0.030381835967582847,4.775010827753607e-07,-0.0008402231743215397,64.28571428571429
HIW,2.413367406940947,0.062021129850291304,40.98,0.03835150686860431,4.429868880544156e-07,-0.04800383034612438,64.83516483516483
UBA,1.276276150622963,0.06495011070382234,41.3,0.04713244685127534,1.1716610731186721e-06,-0.12585026635631588,65.38461538461539
JBGS,1.836949365094692,0.007855638448266613,179.84,0.02325277513911452,6.848940993325297e-07,0.031986725645425124,65.93406593406593
HASI,2.86269909796263,0.03622504008570798,48.47,0.04043450987557281,1.282950888883502e-06,0.16887404620071875,66.48351648351648
LPT,3.1725188930992947,0.027176171231332084,23.5,0.026007039579113364,5.358953364651123e-07,-0.03146673544621799,67.03296703296702
GLPI,4.524712637214129,0.05203287000212035,31.15,0.0598283863375032,2.1310172242434923e-07,-0.24855755098897314,67.58241758241759
CORR,1.428065392779925,0.09471973579906873,84.48,0.06455614203442711,2.4477328953477217e-06,-0.00859256075504783,68.13186813186813
PLD,2.6973635458274043,0.03607826131702622,39.02,0.022752320000182433,0.0,-0.09171913892023832,68.68131868131869
AVB,3.018503027960557,0.039337006035025594,30.4,0.02844219022668436,5.924968917380224e-07,0.018682304277319123,69.23076923076923
GTY,2.3074837561999035,0.040354449073703016,28.22,0.04428763505775722,1.166611436223285e-06,-0.1026076252173817,69.78021978021978
RYN,2.6883391639608027,0.06609566467748686,93.85,0.03455475948421374,6.656002933826184e-07,0.08407036861100016,70.32967032967034
CONE,3.316634119530804,0.043986290342243585,-444.87,0.03110691233792532,5.550853630095713e-07,-0.2589411115051785,70.87912087912088
DEA,2.026852154079548,0.03206683818076285,283.2,0.04525284041253494,3.118111212468592e-07,-0.23933780217836492,71.42857142857143
UDR,5.068012025541108,0.0296602994557821,82.69,0.028511162371606148,2.266780050382552e-07,0.06056743048341737,71.97802197802197
NNN,2.3743107608506984,0.04330252264033765,41.5,0.0358587621109545,3.379959316434625e-07,-0.06290675428142448,72.52747252747253
